"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-5.96045081158021,0.456563291526491,-13.2973309556448,2.39879391633166e-40,-6.8773884290162,-5.11587085958778,0.00257874917995404,0.0010538397682296,0.00631020723794208
"niacin_q2",-0.0379870027191273,0.0886681605750647,-0.418793843460205,0.675366804626539,-0.215286835633366,0.140493919617062,0.962725453623008,0.809145442534518,1.14545574915487
"niacin_q3",-0.104833241263553,0.086670406706025,-1.18159359678938,0.237366995474885,-0.277975142991351,0.0700097136218812,0.900474672085066,0.75979452932388,1.06720251827591
"niacin_q4",-0.158513542906885,0.0867609014032248,-1.79606265956304,0.0724845522122892,-0.330574270963965,0.0155654403037286,0.853411406041464,0.71995619459931,1.01160464126155
"SEX",-0.753379857853211,0.0882898836496587,-8.44345892403006,3.08082658284561e-17,-0.927503617777908,-0.577545651296576,0.470772715926334,0.395965564514074,0.559712686967201
"RACE",-0.0831238675044109,0.0622502002825936,-1.32883982014276,0.183900821682917,-0.208003427009778,0.0372917327196286,0.920237152680592,0.814537949157215,1.03965250244005
"SCHOOL",-0.0327521345222862,0.0168905522456174,-1.89470582890058,0.0581313850911721,-0.0668340590082008,0.000933415476721038,0.967778408720243,0.936264162973413,1.00035341031384
"MARRY",0.0593684497678921,0.020361665885345,2.87863504547297,0.00399400237849778,0.0182966404270739,0.0991649426743759,1.06116615514313,1.01965015649222,1.10437251605507
"URBAN",-0.0273556196176443,0.0475155400012483,-0.566415076151373,0.571111648486256,-0.122326736894634,0.0670189172091435,0.973015156712718,0.886489428947488,1.06798622101647
"BOOZE",0.00491542274243993,0.00487169057897206,1.04497521573451,0.296034424428536,-0.00456765878318105,0.013873494272004,1.00492752325106,0.995377625416689,1.01456904515484
"AVGSMK",0.0192387420563702,0.00137790197737878,12.3407121337058,5.46701827824011e-35,0.0161287547017674,0.022240993090388,1.01942499918787,1.01667556480559,1.02218186897007
"BMI",-0.0158271331189497,0.00546973077281963,-3.15546027557792,0.00160245086089611,-0.0257191108650552,-0.00605828531966001,0.984297457780825,0.973801489720243,0.994906555002423
"ANGINA",0.305880434231937,0.0499668200963592,6.04178969065978,1.52414051881809e-09,0.206108535214889,0.404597526247035,1.35781994805685,1.23114602943858,1.49752748029561
"ARTHRITI",-0.0265393454971707,0.0479714184201458,-0.548181774884404,0.583567094921801,-0.121664772473381,0.0681377295925691,0.973809728053863,0.886420952428762,1.06981382136108
"ASPIRIN",0.0929421841966776,0.0479196896341519,1.89229937084245,0.0584511047300743,-0.00377975046308881,0.188782527689904,1.09739828647043,0.999020072956137,1.20546426618308
"HTN_REP",0.341163219983252,0.0466789110735956,7.13976219508813,9.34925224207452e-13,0.247409034693365,0.434740890017399,1.40658280454877,1.28360503688894,1.54134264761651
"STROKE",0.464477829046188,0.0879594762463693,5.12912390224435,2.91093711611537e-07,0.282716425437028,0.637966978250245,1.59118310232312,1.33920647484708,1.89057005971222
"ns(age_in_year, df = 4)1",1.89969295383292,0.387488209407695,5.02716813228851,4.97775899426357e-07,1.20056872364879,2.68619482152669,6.6838418791492,3.12744401836021,14.2844258772351
"ns(age_in_year, df = 4)2",3.07871559392705,0.245935960935313,12.7765041108268,2.21817700591506e-37,2.63099521622675,3.57850484241895,21.7304737117471,13.4191274458805,35.1895821573627
"ns(age_in_year, df = 4)3",4.03389525616477,0.895358764892129,4.63952592255264,3.49209332570143e-06,2.40929549776892,5.82562715400661,56.4804892872176,9.76683123268766,326.620333056134
"ns(age_in_year, df = 4)4",3.94832844626067,0.198513583394362,19.6876409896292,2.75211077860307e-86,3.56102554003828,4.34892851373391,51.8486265938788,35.1365473149468,76.5095117506866
"niacin_q2:SEX",0.000731090880986093,0.124101716408768,0.00582430283046612,0.995352904967662,-0.246066753155754,0.2461302811717,1.00073135819306,0.78465725586253,1.27630662150709
"niacin_q3:SEX",0.160219973412515,0.126531521610266,1.24489182116134,0.213171517705911,-0.0934107009189698,0.411264542359233,1.17376904057691,0.915960709356476,1.50414067606108
"niacin_q4:SEX",0.292168925374512,0.140964383056303,2.04199482518967,0.0411520446453172,0.00847104323879953,0.569664551788032,1.33932924522531,1.01600547160945,1.76554445545874
