"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-5.99647231629269,0.455051713820037,-13.4340529429734,3.81923156262708e-41,-6.90995086521971,-5.15578187239621,0.00248751187196744,0.00101957064622252,0.00606894219258302
"niacin_q2",-0.0239371248458024,0.06180351204354,-0.382051555303506,0.702423124259756,-0.146852103444133,0.0988181297050188,0.97634709580226,0.864960006437822,1.10207829770917
"niacin_q3",-0.0247094824579521,0.0640938210829521,-0.381779541439725,0.702624894966281,-0.151708886791476,0.102062690530195,0.97559329782899,0.86042108849726,1.10618195612935
"niacin_q4",-0.0598432910567362,0.0688124470332141,-0.869509071287925,0.384568748571604,-0.194968060877571,0.0748801571211657,0.941912128073496,0.823068633706719,1.07791552329775
"SEX",-0.664661412352204,0.0506936481122133,-13.1549810788737,1.59323388292478e-39,-0.763859261544178,-0.565780379698207,0.514447683852598,0.465789733359334,0.568188606289296
"RACE",-0.0814978939890729,0.0619029601682452,-1.30712766406904,0.191169357306679,-0.205981462384174,0.0385115304820969,0.92173465103509,0.816418901615789,1.0406358368692
"SCHOOL",-0.033983039175689,0.0168798674902651,-1.966723734164,0.0492150691239222,-0.0680506525041249,-0.000311091842364712,0.966587898626008,0.935132003488709,0.999101904634497
"MARRY",0.058841436194987,0.0204079561642538,2.85042086624015,0.0043661413471393,0.0177317596327135,0.0986754457116457,1.06060705351628,1.01902046974763,1.10389080039488
"URBAN",-0.0324705300779863,0.0474048728993184,-0.673081688033008,0.500895323128245,-0.127335609943091,0.0617966187158855,0.968050977797766,0.882158017410317,1.062307066444
"BOOZE",0.0042047707261109,0.00487598668996607,0.893954397794962,0.371346290766554,-0.00527626587206681,0.0131639606855438,1.0042136231777,0.994662134120618,1.01385683276991
"AVGSMK",0.0191877877533877,0.00137120636809293,12.3320291439576,6.08937126627093e-35,0.0160834333324473,0.0221837522900775,1.01937305642095,1.01663710377255,1.02211637200827
"BMI",-0.0162663996223276,0.00543608810027873,-3.25157785450344,0.00114766339176846,-0.0261319166989898,-0.00652276903211532,0.983865183826947,0.97343801131511,0.994404049045795
"ANGINA",0.307376068789791,0.0499621948398808,6.07197802759598,1.26344223366783e-09,0.207614828662506,0.406082682726783,1.35985226992106,1.23299992937551,1.49975531381097
"ARTHRITI",-0.0250990703201482,0.0479869478836205,-0.51841342018668,0.604169853290474,-0.120228561421169,0.0695808073943426,0.975213292549245,0.887671543222712,1.07138836794516
"ASPIRIN",0.0936267677154869,0.0479364838376105,1.90589253325537,0.0566641500055992,-0.00311246956342468,0.189484616732274,1.09814980445998,0.999671313423043,1.20632949734867
"HTN_REP",0.340818099556541,0.0466387350339371,7.13394469966333,9.75325291148214e-13,0.247081903947861,0.434376866608001,1.40609744784913,1.28326316163354,1.54068946414005
"STROKE",0.464359131268421,0.0878952414255338,5.12984215910571,2.89985227252305e-07,0.282664289422976,0.637774369275634,1.59099424363363,1.33921612047771,1.89010768655654
"ns(age_in_year, df = 4)1",1.90000391771653,0.387515025188037,5.0288674239378,4.93385359429907e-07,1.20100994393433,2.68637936636776,6.68592063576977,3.12825226981195,14.2896195358628
"ns(age_in_year, df = 4)2",3.08331324272863,0.245932756579311,12.8001714902741,1.63589575469846e-37,2.63577132089129,3.58294288913381,21.8306128240024,13.4810505959631,35.3515219662637
"ns(age_in_year, df = 4)3",4.0376094826382,0.895106001000758,4.64495061729292,3.40157811106061e-06,2.4134346613098,5.82892493313333,56.6906606862296,9.80803277331862,327.673355434128
"ns(age_in_year, df = 4)4",3.95302494349852,0.198554771715864,19.7135946444102,1.64831645868084e-86,3.56577413441116,4.35357659996891,52.0927062365068,35.2991043443277,76.8758894438933
