"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-5.67954439834299,0.579842329731435,-9.48990778585916,2.31238735120865e-21,-6.92045088185224,-4.56234600864266,0.00341511402061342,0.0010960577890438,0.0106408657375312
"niacin_q2",-0.0425888176442489,0.0891762799515325,-0.466815970699343,0.640631548507198,-0.220916559973615,0.13692831129841,0.958305347317584,0.804628719194632,1.14133278714768
"niacin_q3",-0.113618131204698,0.0874972441334262,-1.26875814519516,0.204527337269759,-0.288388586806989,0.0628424921310768,0.892598746417614,0.751929484751539,1.05958409433773
"niacin_q4",-0.161350084271886,0.088032745816871,-1.800936599255,0.0717128735202505,-0.336060864733217,0.0153135782989553,0.85099409930294,0.716129497408341,1.01125698587931
"RACE",-0.188342525424369,0.0815287159883581,-2.2765752032651,0.0228116050388169,-0.354467106667443,-0.0299579049247468,0.828330934230955,0.706000870306041,0.971857352394621
"SCHOOL",-0.0389690561488935,0.0219947102936236,-1.73853731626422,0.0821161807448687,-0.0832659561451585,0.00461638189906945,0.961780469877566,0.921199468201721,1.00414916005504
"MARRY",0.0950630546509085,0.0250260771733244,3.67291154018955,0.000239802514077365,0.0432133340029443,0.144736044713661,1.09972819591744,1.04708691665092,1.15501596444741
"URBAN",-0.0393832845634849,0.060947409664895,-0.632164855837571,0.527279159306949,-0.161914546265237,0.0823571822783344,0.961382155580588,0.853132672274756,1.08336684211658
"BOOZE",0.00424037353217123,0.0053569951943196,0.83172033607383,0.40556681919397,-0.0060630894644343,0.0139273336955728,1.00424937663703,0.993760211792588,1.01484925488882
"AVGSMK",0.0170656804437883,0.00166726759288837,8.9999697534413,2.2577987521053e-19,0.0132741346020544,0.0207092408814932,1.0172121310754,1.01389346542068,1.02054165935237
"BMI",-0.0239465250752465,0.00762392675987114,-3.19227078800962,0.00141158929600347,-0.038720551221551,-0.00931635944016595,0.976337917958679,0.961857063953673,0.991036782664623
"ANGINA",0.385440104980519,0.0660778636107367,5.79793232625242,6.713753209901e-09,0.254225290735346,0.514890717525176,1.47026124837089,1.29165906932045,1.67355937011955
"ARTHRITI",-0.0162317071251524,0.0628539506232706,-0.253230873107202,0.80008981052953,-0.142576686390838,0.108753376566663,0.983899317159139,0.86985786838973,1.11289200395264
"ASPIRIN",0.0647144537402858,0.0638455150773136,0.978667922043387,0.327744086798937,-0.0658999821758908,0.193385263982605,1.06685434461841,0.941366481300234,1.20907023485594
"HTN_REP",0.304281876650782,0.0603768821420633,4.90043363253322,9.56253573417632e-07,0.182169322861018,0.425629033407282,1.35565112863825,1.20435383626513,1.52595518629093
"STROKE",0.46418868316849,0.114216026131891,3.93573510925003,8.29424190742583e-05,0.225739597291983,0.688665528487299,1.59072308479771,1.27166271926899,1.989835743524
"ns(age_in_year, df = 4)1",1.90083644385842,0.483707962949119,3.81244309550691,0.000137599915091872,0.993908580802259,2.96031671123681,6.69148915712982,2.59287898731062,17.2688456958913
"ns(age_in_year, df = 4)2",3.14729349764416,0.310228242642867,9.83723271370614,7.78219338323147e-23,2.56186411875006,3.82393996256933,23.2729908602671,12.670115902283,42.74878838989
"ns(age_in_year, df = 4)3",3.93741835569706,1.10345171818554,3.43936882075791,0.000583072283354762,1.82801274260213,6.33840324994475,51.2860279636464,5.89823402348321,445.939692086787
"ns(age_in_year, df = 4)4",3.76082956400781,0.270018092954205,13.6393648103042,2.33586258060239e-42,3.22804384948045,4.31334681256167,42.9840692292821,25.3199874549963,72.9712133859342
