term,HR,CI_lower,CI_upper,p_value
niacin_q2,0.9532423787318353,0.8432739541304409,1.0775514032652913,0.4438668363628316
niacin_q3,0.940741542136783,0.8292058797225456,1.0672797561421223,0.3427647590974877
niacin_q4,0.9231239510059573,0.80741350352842,1.0554168653321938,0.24174355456093433
SEX,0.5070780766420132,0.4613988096494059,0.557279668767118,3.8429035754409436e-45
RACE,0.9497752278957255,0.8448969911519608,1.0676721458014202,0.3880593988073724
SCHOOL,0.9433553512326075,0.9125832935251276,0.9751650342640124,5.684527509158269e-4
