"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-5.82450817523803,0.420810992743851,-14.2139930276125,7.50228284662704e-46,-6.67296597418181,-5.06238248591638,0.00295425677176064,0.0012949311891732,0.0067398431256151
"niacin_q2",-0.0467946679528891,0.0616288095446285,-0.748396073503928,0.454221290210158,-0.169463151668338,0.0757073951286007,0.954283322422976,0.84570292404122,1.07680443518278
"niacin_q3",-0.0596577940756844,0.0638549123806531,-0.926860748906917,0.353998838858637,-0.185963078532694,0.066412308055453,0.94208686613586,0.831259363809934,1.06769042489682
"niacin_q4",-0.0777813548225972,0.0687227127172489,-1.1390287279408,0.254691172239764,-0.211832938743878,0.0559118514437432,0.925166687665576,0.808578208545523,1.05856600007284
"SEX",-0.667921600065523,0.0481195454201943,-13.8740179472743,9.10313214601822e-44,-0.762490996956555,-0.573753128511031,0.512773218852798,0.466621935524235,0.563489098893859
"RACE",-0.0494790851661116,0.0586430771421598,-0.828965497045068,0.40712393128473,-0.168844283728319,0.0652247720176891,0.951725063099909,0.848386035388882,1.06765146755078
"SCHOOL",-0.0573564679478269,0.0166537426365132,-3.39023695136078,0.000698322361688176,-0.0907126226805432,-0.0243874294698352,0.944257411864456,0.913933192709213,0.975587785818223
"ns(age_in_year, df = 4)1",1.93230891495335,0.387633354864386,5.12032441221306,3.05010496169481e-07,1.2343350128805,2.71796161096167,6.90543591323498,3.23021125596446,14.7622063615025
"ns(age_in_year, df = 4)2",3.00503113335527,0.244591871207005,12.5605256300577,3.48013086906136e-36,2.56110214802015,3.50183051801558,20.186844570408,12.498780328024,32.6038767795702
"ns(age_in_year, df = 4)3",3.93176720174494,0.895364000731835,4.52490845044846,6.04216550447413e-06,2.30844518128102,5.7226086312126,50.9970201071112,8.81851739699752,294.913072427636
"ns(age_in_year, df = 4)4",3.76337786779442,0.196253912216822,18.9680365528791,3.13395285858116e-80,3.38037483254536,4.159928554375,43.0937453803868,29.3332064387623,63.3095087912241
