"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-5.24148586349779,0.470298727025295,-11.3132315140268,1.12854998250904e-29,-6.18541319084908,-4.36490593116113,0.00529238722574016,0.00210535460318023,0.0133038693362478
"NIACIN",-0.0089967862533095,0.006887210691278,-1.37043285254754,0.170551822715869,-0.021894782224709,0.00384670369592443,0.991043563730739,0.97775542275176,1.00451229659044
"SEX",-0.767506724754768,0.096378543369735,-8.20449736702916,2.31557593568571e-16,-0.950702371562393,-0.584016156597939,0.464168927671657,0.384270452943748,0.560680093318013
"RACE",-0.076281622844796,0.0615298953368037,-1.22684548827446,0.219880670195624,-0.200436771656731,0.043383314566507,0.926555230692796,0.821289003302779,1.04531363755236
"SCHOOL",-0.0350126640857427,0.0168800171382739,-2.02924863027503,0.0424329726362625,-0.069031241310813,-0.0013897209988598,0.965593187825213,0.934169389791852,0.998074026576918
"MARRY",0.0597774959804136,0.020352484128814,2.89897048659415,0.00374390133699134,0.0187129025672281,0.0995672040414654,1.06160030992838,1.02008568338624,1.10480446534541
"URBAN",-0.0290610813366122,0.0474725486919867,-0.601661393085572,0.547399553588759,-0.124041927659943,0.0653246116471204,0.971357130862655,0.885053417735208,1.06607652913444
"BOOZE",0.00404622231872617,0.00486979410696835,0.862144180923998,0.388608181718818,-0.00541664596424474,0.0129827118766483,1.00405441932816,0.994516515358245,1.01368379650213
"AVGSMK",0.0191736595307885,0.00136939252940712,12.325822768498,6.57687536092608e-35,0.0160698460044701,0.022168711496467,1.01935865459324,1.01662635482486,1.02209829773019
"BMI",-0.0159040789749301,0.00544352500379762,-3.17628224074694,0.00149175738017577,-0.0257785595022575,-0.0061516748358417,0.984221723084169,0.973776577714869,0.994778907564168
"ANGINA",0.308018670169318,0.0499448615145857,6.08444260890702,1.16897264659872e-09,0.208253008982302,0.406728315834834,1.36072639369216,1.23383442819782,1.50066838481314
"ARTHRITI",-0.0244235155123959,0.0479629740708341,-0.504617775494124,0.613827322518143,-0.119524006159224,0.0702260804595217,0.97587232515887,0.888313156278123,1.072062018085
"ASPIRIN",0.0951745271642986,0.0479275900758163,1.9386406283258,0.0525451127580677,-0.001504292833723,0.190969515089237,1.09985079221641,1.00123721533591,1.20817699003851
"HTN_REP",0.342112079557885,0.0464377350062074,7.17236287966742,7.37142343666668e-13,0.248524485310576,0.435523612116386,1.40791808750821,1.28543106205431,1.54207673958404
"STROKE",0.465645133062691,0.0879737578237363,5.14462833052311,2.68050965100975e-07,0.283969903261508,0.639040126506657,1.59304158124338,1.34073311851826,1.89283120146618
"ns(age_in_year, df = 4)1",1.89990200110493,0.387362345377415,5.02773102084635,4.96317380787876e-07,1.20076923323188,2.68639588692578,6.68523926411525,3.12886964694337,14.2838881326132
"ns(age_in_year, df = 4)2",3.08641100317832,0.245683905595631,12.8080175136723,1.47864151948527e-37,2.63866548109189,3.5862073917167,21.8983436858308,13.529473774795,35.4439103962884
"ns(age_in_year, df = 4)3",4.03519488844394,0.89497580317497,4.64166261542846,3.45616863668278e-06,2.41082184142258,5.82668854474019,56.5539408739266,9.78687609518495,326.799705775895
"ns(age_in_year, df = 4)4",3.95902823562713,0.198272745741015,19.7351287047844,1.07672350250103e-86,3.57161173836978,4.35974599394923,52.4063745490331,35.5312877705893,77.2960471094122
"NIACIN:SEX",0.007048948148497,0.00508607112738569,1.44900299706547,0.14733674560216,-0.00259906754914335,0.0164734638507339,1.00707385046081,0.997084507067107,1.01716327261488
