"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-7.04044026144731,0.743706158522845,-10.3118595378982,6.22843409877865e-25,-8.47880086618472,-5.78568957025661,0.00087574092240732,0.000203854443274514,0.00376210668190378
"niacin_q2",-0.043683787836958,0.0887532626200201,-0.497204653184485,0.619044740419905,-0.216783759465807,0.127815087834869,0.95725660580189,0.804414832075345,1.13913887811746
"niacin_q3",0.0553361614995294,0.0948133377281031,0.578482989452498,0.562938078655271,-0.133890492146281,0.241336974950369,1.05689584265648,0.877658265423847,1.27273776848111
"niacin_q4",0.135264504981305,0.11419982650354,1.17105423474024,0.241576977847269,-0.0955337364300475,0.357733840907492,1.14483956007314,0.915241645650918,1.43203450644592
"RACE",0.082518457875941,0.0977174869337595,0.854262425403558,0.392959601469845,-0.112162478796442,0.26680576542576,1.08601871885284,0.896723408219563,1.31527363609313
"SCHOOL",-0.0164252502284902,0.027109673693021,-0.59544549730876,0.551545720812107,-0.0709374913887176,0.0372176274158326,0.983708908658645,0.93280396694481,1.03739183286689
"MARRY",-0.00508975317282874,0.0340786324122428,-0.149528336222,0.881136751632923,-0.0732712429860922,0.0602214659406421,0.994923177673278,0.930638962125539,1.06364784815227
"URBAN",-0.0111992913322896,0.0770400331548126,-0.145327385062996,0.88445239408714,-0.163249256850079,0.138949878585297,0.988863187274663,0.850273041049129,1.15004281676444
"BOOZE",0.00884525405158886,0.0117035162889384,0.718957779399278,0.472166934118399,-0.0169931752082292,0.0311020339739477,1.00888448890664,0.986005212507482,1.03229465630101
"AVGSMK",0.0238303034750214,0.00250775133575078,8.62299421087993,6.52257542205518e-18,0.0182238661674333,0.0290687930564207,1.02411651413047,1.01909513483274,1.02916263523021
"BMI",-0.00903318554672401,0.00784354003553575,-1.31963932409047,0.186955466993201,-0.0226115860202634,0.00422048445627655,0.991007491101789,0.975888906830474,1.00636029423631
"ANGINA",0.204177182756391,0.0777570073777098,2.59256252994582,0.0095263861874731,0.0484349827341709,0.357279349872204,1.22651545159337,1.0531371254746,1.42843711099763
"ARTHRITI",-0.0347222021331247,0.0748297889183666,-0.467835230203024,0.639902424611183,-0.180279630013486,0.110743384994685,0.96587369664458,0.834111169776008,1.11845043163778
"ASPIRIN",0.119616572874853,0.073822002290606,1.61811346510592,0.105638147176726,-0.0260256133121606,0.26385549913075,1.12706462157261,0.975237203809815,1.30252891936261
"HTN_REP",0.38888797848905,0.0754924062486944,5.12668781899657,2.94883869682736e-07,0.240444864906815,0.537888906473051,1.47533927234137,1.27242287967386,1.71061523907105
"STROKE",0.460574408745705,0.140578423340598,3.23926664616161,0.00119837482689875,0.171337311551602,0.729741914569381,1.58498415232432,1.20326741090927,2.0877942345508
"ns(age_in_year, df = 4)1",1.92873221116933,0.64836456247579,3.28241120575992,0.00102923394883473,0.874473275255035,3.19411563302406,6.88078133182455,1.93080626335658,24.5209230127931
"ns(age_in_year, df = 4)2",3.10545240196673,0.411791075406185,8.24982448207041,1.58627331093393e-16,2.42605825199529,3.91265600865626,22.3193139931473,9.95765790825243,50.0270025054644
"ns(age_in_year, df = 4)3",4.29647422446507,1.52160316814089,3.16584048675225,0.00154635566965198,1.82514960958551,7.17528813118212,73.4404023166462,3.72151935963235,1449.27170094412
"ns(age_in_year, df = 4)4",4.14672001152045,0.30378218333852,13.7961112021216,2.6897602606723e-43,3.57208830187172,4.75699781960224,63.2262783569492,34.8588458771912,114.67856075769
