"term","estimate","std.error","statistic","p.value","conf.low","conf.high","RR","RR_low","RR_high"
"(Intercept)",-6.62767030254589,0.406541680252597,-16.7180564288202,9.68257927137885e-63,-7.45269810564861,-5.89465070148087,0.00132324225197088,0.000596463805827279,0.00293558475852933
"NIACIN",0.00817705093683596,0.00200947859749335,4.08126268577195,4.47916966390288e-05,0.0041929127038077,0.0120464745039225,1.00821057432971,1.00424746791586,1.01218932052654
"ns(age_in_year, df = 4)1",2.02358698467045,0.385985505885589,5.37432481344483,7.68701786473219e-08,1.32729653794813,2.80758198454054,7.56541334345083,3.55038267387193,16.120932393703
"ns(age_in_year, df = 4)2",3.11996735888303,0.242874910770326,13.0912315695797,3.69566458585878e-39,2.67794324083416,3.61506118647616,22.6456404521125,14.0684195022179,36.452213513075
"ns(age_in_year, df = 4)3",4.02825014579922,0.891479465382456,4.64489473435889,3.40249898662204e-06,2.40823226718991,5.81583034716017,56.162548940189,9.78597652128741,322.321629997551
"ns(age_in_year, df = 4)4",3.80915987511151,0.19508606029461,19.2941600593568,6.01342367534074e-83,3.42810311131469,4.20382646734374,45.1125227882517,30.7777244732661,66.1237874842979
